id,name,date_begin,date_end,address_id/id,user_id/id,stage_id/id,event_type_id/id,seats_max,seats_limited,is_published,website_published,cimg,header_type,rectitle,teaser,event_id/id
"_demo.event_forum_theater_schwabing","Forum-Theater: Konflikte im Alltag","2025-11-15 10:00:00","2025-11-15 17:00:00","_demo.location_theaterwerkstatt_schwabing","_demo.partner_instructor_01","event.event_stage_announced","","25","True","True","True","https://images.unsplash.com/photo-1507003211169-0a1dd7228f2d?w=1600&h=900&fit=crop","cover","Forum-Theater Workshop","Interaktiver Workshop nach Augusto Boal. Gemeinsam entwickeln wir Szenen zu Alltagskonflikten und erproben Handlungsalternativen.","_demo.location_theaterwerkstatt_schwabing"
"_demo.event_impro_kids_giesing","Improtheater für Kinder (8-12 Jahre)","2025-11-20 14:00:00","2025-11-20 16:30:00","_demo.location_kulturzentrum_giesing","_demo.partner_instructor_02","event.event_stage_announced","","20","True","True","True","https://images.unsplash.com/photo-1503454537195-1dcabb73ffb9?w=1600&h=900&fit=crop","cover","Kinder-Impro Workshop","Spielerisch die Welt des Improtheaters entdecken. Ohne Text, ohne Skript - nur mit Fantasie und Teamgeist!","_demo.location_kulturzentrum_giesing"
"_demo.event_applied_theatre_sendling","Applied Theatre: Klimagerechtigkeit","2025-11-22 09:00:00","2025-11-22 18:00:00","_demo.location_jugendhaus_sendling","_demo.partner_instructor_04","event.event_stage_announced","","30","True","True","True","https://images.unsplash.com/photo-1529156069898-49953e39b3ac?w=1600&h=900&fit=crop","cover","Applied Theatre Workshop","Theater als Werkzeug für gesellschaftlichen Dialog. Wir entwickeln Performances zum Thema Klimagerechtigkeit.","_demo.location_jugendhaus_sendling"
"_demo.event_bewegungstheater_neuhausen","Bewegungstheater & Physical Performance","2025-11-25 10:00:00","2025-11-25 16:00:00","_demo.location_tanzsaal_neuhausen","_demo.partner_instructor_05","event.event_stage_announced","","18","True","True","True","https://images.unsplash.com/photo-1518032818693-c0c149476558?w=1600&h=900&fit=crop","cover","Movement Theatre","Körperausdruck ohne Worte. Bewegung und Tanz als theatrale Sprache. Für alle Level geeignet.","_demo.location_tanzsaal_neuhausen"
"_demo.event_deutsch_tschechisch_pasing","Deutsch-tschechische Theaterbegegnung","2025-11-28 09:00:00","2025-12-01 17:00:00","_demo.location_haus_der_begegnung_pasing","_demo.partner_instructor_07","event.event_stage_announced","","35","True","True","True","https://images.unsplash.com/photo-1511632765486-a01980e01a18?w=1600&h=900&fit=crop","cover","Jugendbegegnung","4-tägiges Theaterprojekt für deutsche und tschechische Jugendliche. Gemeinsam Theater machen, Sprache überwinden.","_demo.location_haus_der_begegnung_pasing"
"_demo.event_schultheater_haidhausen","Drama in Education: Märchen neu erzählt","2025-12-03 08:30:00","2025-12-03 13:00:00","_demo.location_schultheater_haidhausen","_demo.partner_instructor_03","event.event_stage_announced","","22","True","True","True","https://images.unsplash.com/photo-1503454537195-1dcabb73ffb9?w=1600&h=900&fit=crop","cover","Schul-Workshop","Theaterpädagogischer Workshop für Schulklassen. Klassische Märchen aus neuer Perspektive inszenieren.","_demo.location_schultheater_haidhausen"
"_demo.event_community_berg_am_laim","Community Theater: Unser Viertel","2025-12-05 17:00:00","2025-12-05 21:00:00","_demo.location_kreativraum_berg_am_laim","_demo.partner_instructor_06","event.event_stage_announced","","25","True","True","True","https://images.unsplash.com/photo-1524178232363-1fb2b075b655?w=1600&h=900&fit=crop","cover","Community Workshop","Nachbarschaftstheater - wir entwickeln Szenen über unseren Stadtteil. Für alle Bewohner*innen offen.","_demo.location_kreativraum_berg_am_laim"
"_demo.event_ensemble_milbertshofen","Ensemble-Workshop: Kollektive Kreation","2025-12-08 10:00:00","2025-12-08 18:00:00","_demo.location_probebühne_milbertshofen","_demo.partner_instructor_08","event.event_stage_announced","","16","True","True","True","https://images.unsplash.com/photo-1503095396549-807759245b35?w=1600&h=900&fit=crop","cover","Ensemble-Arbeit","Gemeinsam eine Performance entwickeln. Kollektive Kreationsprozesse und demokratische Entscheidungsfindung im Theater.","_demo.location_probebühne_milbertshofen"
"_demo.event_tdo_fortbildung","Theater der Unterdrückten - Einführung","2025-12-10 09:00:00","2025-12-12 17:00:00","_demo.location_forum_theater_zentrum","_demo.partner_instructor_01","event.event_stage_announced","","20","True","True","True","https://images.unsplash.com/photo-1507003211169-0a1dd7228f2d?w=1600&h=900&fit=crop","cover","TdU Fortbildung","3-tägige Fortbildung in den Methoden des Theater der Unterdrückten nach Augusto Boal. Für Multiplikator*innen.","_demo.location_forum_theater_zentrum"
"_demo.event_kids_theater_moosach","Kindertheater: Mut tut gut","2025-12-13 15:00:00","2025-12-13 17:30:00","_demo.location_stadtteiltreneff_moosach","_demo.partner_instructor_09","event.event_stage_announced","","18","True","True","True","https://images.unsplash.com/photo-1503454537195-1dcabb73ffb9?w=1600&h=900&fit=crop","cover","Kinderworkshop","Theater gegen Angst. Kinder lernen durch Rollenspiel, mutig zu sein und für sich einzustehen.","_demo.location_stadtteiltreneff_moosach"
